date,eur_per_g
1971-01-04,2.26
1971-01-05,2.27
1971-01-06,2.26
1971-01-07,2.26
1971-01-08,2.26
1971-01-11,2.28
1971-01-12,2.29
1971-01-13,2.30
1971-01-14,2.29
1971-01-15,2.30
1971-01-18,2.30
1971-01-19,2.29
1971-01-20,2.30
1971-01-21,2.29
1971-01-22,2.29
1971-01-25,2.29
1971-01-26,2.30
1971-01-27,2.29
1971-01-28,2.29
1971-01-29,2.30
1971-02-01,2.30
1971-02-02,2.32
1971-02-03,2.35
1971-02-04,2.32
1971-02-05,2.32
1971-02-08,2.33
1971-02-09,2.34
1971-02-10,2.34
1971-02-11,2.35
1971-02-12,2.34
1971-02-16,2.35
1971-02-17,2.34
1971-02-18,2.34
1971-02-19,2.33
1971-02-22,2.33
1971-02-23,2.34
1971-02-24,2.33
1971-02-25,2.34
1971-02-26,2.34
1971-03-01,2.34
1971-03-02,2.34
1971-03-03,2.34
1971-03-04,2.34
1971-03-05,2.34
1971-03-08,2.34
1971-03-09,2.34
1971-03-10,2.34
1971-03-11,2.35
1971-03-12,2.35
1971-03-15,2.35
1971-03-16,2.35
1971-03-17,2.34
1971-03-18,2.35
1971-03-19,2.35
1971-03-22,2.35
1971-03-23,2.35
1971-03-24,2.35
1971-03-25,2.35
1971-03-26,2.35
1971-03-29,2.34
1971-03-30,2.34
1971-03-31,2.34
1971-04-01,2.35
1971-04-02,2.34
1971-04-05,2.34
1971-04-06,2.34
1971-04-07,2.35
1971-04-08,2.35
1971-04-12,2.35
1971-04-13,2.35
1971-04-14,2.35
1971-04-15,2.35
1971-04-16,2.35
1971-04-19,2.35
1971-04-20,2.35
1971-04-21,2.35
1971-04-22,2.36
1971-04-23,2.36
1971-04-26,2.35
1971-04-27,2.35
1971-04-28,2.36
1971-04-29,2.38
1971-04-30,2.39
1971-05-03,2.38
1971-05-04,2.39
1971-05-05,2.38
1971-05-06,2.40
1971-05-07,2.36
1971-05-10,2.34
1971-05-11,2.38
1971-05-12,2.39
1971-05-13,2.40
1971-05-14,2.43
1971-05-17,2.40
1971-05-18,2.41
1971-05-19,2.38
1971-05-20,2.39
1971-05-21,2.38
1971-05-24,2.38
1971-05-25,2.41
1971-05-26,2.40
1971-05-27,2.40
1971-05-28,2.40
1971-06-01,2.42
1971-06-02,2.39
1971-06-03,2.38
1971-06-04,2.38
1971-06-07,2.36
1971-06-08,2.34
1971-06-09,2.33
1971-06-10,2.31
1971-06-11,2.31
1971-06-14,2.30
1971-06-15,2.31
1971-06-16,2.33
1971-06-17,2.32
1971-06-18,2.32
1971-06-21,2.32
1971-06-22,2.33
1971-06-23,2.34
1971-06-24,2.34
1971-06-25,2.33
1971-06-28,2.32
1971-06-29,2.32
1971-06-30,2.33
1971-07-01,2.34
1971-07-02,2.34
1971-07-06,2.34
1971-07-07,2.34
1971-07-08,2.34
1971-07-09,2.34
1971-07-12,2.34
1971-07-13,2.34
1971-07-14,2.34
1971-07-15,2.34
1971-07-16,2.35
1971-07-19,2.36
1971-07-20,2.36
1971-07-21,2.37
1971-07-22,2.40
1971-07-23,2.40
1971-07-26,2.40
1971-07-27,2.41
1971-07-28,2.42
1971-07-29,2.43
1971-07-30,2.44
1971-08-02,2.43
1971-08-03,2.43
1971-08-04,2.44
1971-08-05,2.45
1971-08-06,2.44
1971-08-09,2.48
1971-08-10,2.44
1971-08-11,2.42
1971-08-12,2.43
1971-08-13,2.42
1971-08-16,2.43
1971-08-17,2.43
1971-08-18,2.45
1971-08-19,2.46
1971-08-20,2.46
1971-08-23,2.46
1971-08-24,2.44
1971-08-25,2.41
1971-08-26,2.37
1971-08-27,2.32
1971-08-30,2.34
1971-08-31,2.30
1971-09-01,2.32
1971-09-02,2.33
1971-09-03,2.35
1971-09-07,2.34
1971-09-08,2.33
1971-09-09,2.35
1971-09-10,2.34
1971-09-13,2.34
1971-09-14,2.34
1971-09-15,2.35
1971-09-16,2.37
1971-09-17,2.35
1971-09-20,2.34
1971-09-21,2.35
1971-09-22,2.34
1971-09-23,2.32
1971-09-24,2.34
1971-09-27,2.34
1971-09-28,2.37
1971-09-29,2.34
1971-09-30,2.35
1971-10-01,2.34
1971-10-04,2.35
1971-10-05,2.34
1971-10-06,2.33
1971-10-07,2.34
1971-10-08,2.33
1971-10-11,2.33
1971-10-12,2.35
1971-10-13,2.36
1971-10-14,2.36
1971-10-15,2.35
1971-10-18,2.35
1971-10-19,2.34
1971-10-20,2.34
1971-10-21,2.34
1971-10-22,2.35
1971-10-25,2.35
1971-10-26,2.35
1971-10-27,2.35
1971-10-28,2.35
1971-10-29,2.34
1971-11-01,2.33
1971-11-02,2.34
1971-11-03,2.34
1971-11-04,2.34
1971-11-05,2.35
1971-11-08,2.35
1971-11-09,2.36
1971-11-10,2.37
1971-11-11,2.37
1971-11-12,2.37
1971-11-15,2.37
1971-11-16,2.37
1971-11-17,2.37
1971-11-18,2.39
1971-11-19,2.39
1971-11-22,2.39
1971-11-23,2.38
1971-11-24,2.38
1971-11-26,2.39
1971-11-29,2.40
1971-11-30,2.40
1971-12-01,2.39
1971-12-02,2.39
1971-12-03,2.38
1971-12-06,2.37
1971-12-07,2.38
1971-12-08,2.35
1971-12-09,2.37
1971-12-10,2.38
1971-12-13,2.37
1971-12-14,2.36
1971-12-15,2.35
1971-12-16,2.34
1971-12-17,2.31
1971-12-20,2.31
1971-12-21,2.33
1971-12-22,2.34
1971-12-23,2.35
1971-12-27,2.36
1971-12-28,2.36
1971-12-29,2.37
1971-12-30,2.36
1972-01-03,2.39
1972-01-04,2.41
1972-01-05,2.42
1972-01-06,2.39
1972-01-07,2.48
1972-01-10,2.47
1972-01-11,2.38
1972-01-12,2.43
1972-01-13,2.42
1972-01-14,2.45
1972-01-17,2.46
1972-01-18,2.45
1972-01-19,2.45
1972-01-20,2.45
1972-01-21,2.45
1972-01-24,2.45
1972-01-25,2.45
1972-01-26,2.46
1972-01-27,2.48
1972-01-28,2.52
1972-01-31,2.51
1972-02-01,2.56
1972-02-02,2.60
1972-02-03,2.54
1972-02-04,2.50
1972-02-07,2.53
1972-02-08,2.55
1972-02-09,2.55
1972-02-10,2.56
1972-02-11,2.55
1972-02-14,2.53
1972-02-15,2.53
1972-02-16,2.52
1972-02-17,2.54
1972-02-18,2.55
1972-02-22,2.56
1972-02-23,2.56
1972-02-24,2.57
1972-02-25,2.57
1972-02-28,2.56
1972-02-29,2.54
1972-03-01,2.53
