date,eur_per_g
1971-01-04,0.1006
1971-01-05,0.1006
1971-01-06,0.1032
1971-01-07,0.1029
1971-01-08,0.1038
1971-01-11,0.1029
1971-01-12,0.1032
1971-01-13,0.1029
1971-01-14,0.1026
1971-01-15,0.1010
1971-01-18,0.0952
1971-01-19,0.0948
1971-01-20,0.0945
1971-01-21,0.0936
1971-01-22,0.0945
1971-01-25,0.0968
1971-01-26,0.0948
1971-01-27,0.0961
1971-01-28,0.0961
1971-01-29,0.0955
1971-02-01,0.0965
1971-02-02,0.0971
1971-02-03,0.0974
1971-02-04,0.1000
1971-02-05,0.1003
1971-02-08,0.0993
1971-02-09,0.0981
1971-02-10,0.0990
1971-02-11,0.0993
1971-02-16,0.0990
1971-02-17,0.0977
1971-02-18,0.0977
1971-02-19,0.0990
1971-02-22,0.0984
1971-02-23,0.0971
1971-02-24,0.0981
1971-02-25,0.0987
1971-02-26,0.0987
1971-03-01,0.1006
1971-03-02,0.1006
1971-03-03,0.0993
1971-03-04,0.1013
1971-03-05,0.1010
1971-03-08,0.1038
1971-03-09,0.1029
1971-03-10,0.1019
1971-03-11,0.1010
1971-03-12,0.1013
1971-03-15,0.1029
1971-03-16,0.1029
1971-03-17,0.1026
1971-03-18,0.1026
1971-03-19,0.1016
1971-03-22,0.1022
1971-03-23,0.1019
1971-03-24,0.1013
1971-03-25,0.1032
1971-03-26,0.1035
1971-03-29,0.1035
1971-03-30,0.1029
1971-03-31,0.1045
1971-04-01,0.1042
1971-04-02,0.1071
1971-04-05,0.1048
1971-04-06,0.1055
1971-04-07,0.1080
1971-04-08,0.1077
1971-04-12,0.1071
1971-04-13,0.1051
1971-04-14,0.1058
1971-04-15,0.1064
1971-04-16,0.1045
1971-04-19,0.1067
1971-04-20,0.1074
1971-04-21,0.1077
1971-04-22,0.1067
1971-04-23,0.1055
1971-04-26,0.1032
1971-04-27,0.1032
1971-04-28,0.1042
1971-04-29,0.1042
1971-04-30,0.1032
1971-05-03,0.1013
1971-05-04,0.1029
1971-05-05,0.1029
1971-05-06,0.1026
1971-05-07,0.1019
1971-05-10,0.1003
1971-05-11,0.1010
1971-05-12,0.1010
1971-05-13,0.1019
1971-05-14,0.1010
1971-05-17,0.1010
1971-05-18,0.1006
1971-05-19,0.1003
1971-05-20,0.0984
1971-05-21,0.0955
1971-05-24,0.0965
1971-05-25,0.0965
1971-05-26,0.0961
1971-05-27,0.0958
1971-05-28,0.0971
1971-06-01,0.0968
1971-06-02,0.0952
1971-06-03,0.0945
1971-06-04,0.0945
1971-06-07,0.0939
1971-06-08,0.0955
1971-06-09,0.0958
1971-06-10,0.0952
1971-06-11,0.0961
1971-06-14,0.0952
1971-06-15,0.0955
1971-06-16,0.0965
1971-06-17,0.0958
1971-06-18,0.0955
1971-06-21,0.0929
1971-06-22,0.0939
1971-06-23,0.0932
1971-06-24,0.0945
1971-06-25,0.0942
1971-06-28,0.0929
1971-06-29,0.0916
1971-06-30,0.0913
1971-07-01,0.0936
1971-07-02,0.0929
1971-07-06,0.0932
1971-07-07,0.0926
1971-07-08,0.0939
1971-07-09,0.0936
1971-07-12,0.0916
1971-07-13,0.0920
1971-07-14,0.0900
1971-07-15,0.0903
1971-07-16,0.0910
1971-07-19,0.0897
1971-07-20,0.0891
1971-07-21,0.0897
1971-07-22,0.0903
1971-07-23,0.0903
1971-07-26,0.0897
1971-07-27,0.0900
1971-07-28,0.0910
1971-07-29,0.0932
1971-07-30,0.0929
1971-08-02,0.0942
1971-08-03,0.0936
1971-08-04,0.0945
1971-08-05,0.0961
1971-08-06,0.0932
1971-08-09,0.0932
1971-08-10,0.0923
1971-08-11,0.0913
1971-08-12,0.0932
1971-08-13,0.0932
1971-08-19,0.0920
1971-08-20,0.0945
1971-08-23,0.0923
1971-08-24,0.0923
1971-08-25,0.0920
1971-08-26,0.0891
1971-08-27,0.0878
1971-08-30,0.0865
1971-08-31,0.0846
1971-09-01,0.0855
1971-09-02,0.0855
1971-09-03,0.0865
1971-09-07,0.0820
1971-09-08,0.0817
1971-09-09,0.0813
1971-09-10,0.0801
1971-09-13,0.0801
1971-09-14,0.0807
1971-09-15,0.0807
1971-09-16,0.0813
1971-09-17,0.0813
1971-09-20,0.0813
1971-09-21,0.0807
1971-09-22,0.0804
1971-09-23,0.0801
1971-09-24,0.0797
1971-09-27,0.0791
1971-09-28,0.0794
1971-09-29,0.0788
1971-09-30,0.0788
1971-10-01,0.0788
1971-10-04,0.0762
1971-10-05,0.0752
1971-10-06,0.0759
1971-10-07,0.0762
1971-10-08,0.0743
1971-10-12,0.0736
1971-10-13,0.0746
1971-10-14,0.0749
1971-10-15,0.0756
1971-10-18,0.0759
1971-10-19,0.0746
1971-10-20,0.0733
1971-10-21,0.0739
1971-10-22,0.0743
1971-10-26,0.0749
1971-10-27,0.0730
1971-10-28,0.0736
1971-10-29,0.0733
1971-11-01,0.0723
1971-11-03,0.0730
1971-11-04,0.0727
1971-11-05,0.0736
1971-11-08,0.0743
1971-11-09,0.0746
1971-11-10,0.0739
1971-11-11,0.0749
1971-11-12,0.0743
1971-11-15,0.0749
1971-11-16,0.0746
1971-11-17,0.0743
1971-11-18,0.0736
1971-11-19,0.0739
1971-11-22,0.0739
1971-11-23,0.0736
1971-11-24,0.0733
1971-11-26,0.0743
1971-11-29,0.0743
1971-11-30,0.0743
1971-12-01,0.0756
1971-12-02,0.0752
1971-12-03,0.0759
1971-12-06,0.0752
1971-12-07,0.0759
1971-12-08,0.0765
1971-12-09,0.0775
1971-12-10,0.0775
1971-12-13,0.0765
1971-12-14,0.0765
1971-12-15,0.0765
1971-12-16,0.0778
1971-12-17,0.0775
1971-12-20,0.0765
1971-12-21,0.0759
1971-12-22,0.0762
1971-12-23,0.0765
1971-12-27,0.0752
1971-12-28,0.0739
1971-12-29,0.0749
1971-12-30,0.0746
1972-01-03,0.0759
1972-01-04,0.0772
1972-01-05,0.0772
1972-01-06,0.0784
1972-01-07,0.0791
1972-01-10,0.0801
1972-01-11,0.0788
1972-01-12,0.0788
1972-01-13,0.0778
1972-01-14,0.0794
1972-01-17,0.0810
1972-01-18,0.0826
1972-01-19,0.0794
1972-01-20,0.0823
1972-01-21,0.0788
1972-01-24,0.0797
1972-01-25,0.0801
1972-01-26,0.0797
1972-01-27,0.0817
1972-01-28,0.0829
1972-01-31,0.0829
1972-02-01,0.0829
1972-02-02,0.0829
1972-02-03,0.0823
1972-02-04,0.0823
1972-02-07,0.0823
1972-02-08,0.0817
1972-02-09,0.0823
1972-02-10,0.0826
1972-02-11,0.0804
1972-02-14,0.0801
1972-02-15,0.0797
1972-02-16,0.0791
1972-02-17,0.0801
1972-02-18,0.0801
1972-02-22,0.0794
1972-02-23,0.0791
1972-02-24,0.0797
1972-02-25,0.0784
1972-02-28,0.0781
1972-02-29,0.0784
1972-03-01,0.0797
1972-03-02,0.0801
1972-03-03,0.0813
1972-03-06,0.0820
1972-03-07,0.0813
1972-03-08,0.0810
1972-03-09,0.0823
1972-03-10,0.0817
1972-03-13,0.0817
1972-03-14,0.0810
1972-03-15,0.0810
1972-03-16,0.0804
1972-03-17,0.0839
1972-03-20,0.0820
1972-03-21,0.0823
1972-03-22,0.0817
1972-03-23,0.0817
1972-03-24,0.0817
1972-03-27,0.0823
1972-03-28,0.0829
1972-03-29,0.0833
1972-03-30,0.0842
1972-04-03,0.0849
1972-04-04,0.0842
1972-04-05,0.0836
1972-04-06,0.0839
1972-04-07,0.0842
1972-04-10,0.0839
1972-04-11,0.0836
1972-04-12,0.0842
1972-04-13,0.0817
1972-04-14,0.0817
1972-04-17,0.0833
1972-04-18,0.0839
1972-04-19,0.0826
1972-04-20,0.0836
1972-04-21,0.0839
1972-04-24,0.0826
1972-04-25,0.0829
1972-04-26,0.0826
1972-04-27,0.0842
1972-04-28,0.0852
1972-05-01,0.0849
1972-05-02,0.0849
1972-05-03,0.0846
1972-05-04,0.0846
1972-05-05,0.0846
1972-05-08,0.0849
1972-05-09,0.0849
1972-05-10,0.0842
1972-05-11,0.0839
1972-05-12,0.0842
1972-05-15,0.0846
1972-05-16,0.0852
1972-05-17,0.0852
1972-05-18,0.0839
1972-05-19,0.0846
1972-05-22,0.0846
1972-05-23,0.0829
1972-05-24,0.0826
1972-05-25,0.0833
1972-05-26,0.0829
1972-05-30,0.0820
1972-05-31,0.0810
1972-06-01,0.0820
1972-06-02,0.0823
1972-06-05,0.0826
1972-06-06,0.0839
1972-06-07,0.0836
1972-06-08,0.0836
1972-06-09,0.0833
1972-06-12,0.0836
1972-06-13,0.0833
1972-06-14,0.0839
1972-06-15,0.0833
1972-06-16,0.0836
1972-06-19,0.0842
1972-06-20,0.0833
1972-06-21,0.0823
1972-06-22,0.0833
1972-06-23,0.0820
1972-06-26,0.0820
1972-06-27,0.0826
1972-06-28,0.0817
1972-06-29,0.0826
1972-06-30,0.0820
1972-07-05,0.0842
1972-07-06,0.0884
1972-07-07,0.0891
1972-07-10,0.0900
1972-07-11,0.0900
1972-07-12,0.0942
1972-07-13,0.0923
1972-07-14,0.0929
1972-07-17,0.0945
1972-07-18,0.0939
1972-07-19,0.0945
1972-07-20,0.0939
1972-07-21,0.0936
1972-07-24,0.0942
1972-07-25,0.0945
